CategoryID	ChannelID	ViewCount	CountryCode	Title
10	UCwppdrjsBPAZg5_cUwQjfMQ	321225710	US	Charlie Puth - Attention [Official Video]
10	UCZU9T1ceaOgwfLRq7OKFU4Q	140422262	US	Breaking The Habit (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	616572009	US	Numb (Official Video) - Linkin Park
10	UCR5BwOS3Gb4uQtxRYRUQ7ng	39628498	US	Louis Tomlinson - Back to You (Official Video) ft. Bebe Rexha, Digital Farm Animals
10	UCZU9T1ceaOgwfLRq7OKFU4Q	379671389	US	In The End (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	289758416	US	What I've Done (Official Video) - Linkin Park
10	UC0C-w0YjGpqDXGB8IHb662A	376047643	US	Ed Sheeran - Photograph (Official Music Video)
10	UC20vb-R_px4CguHzzBPhoyQ	301213015	US	Eminem - Mockingbird
10	UCsuNF5l7GRF4RboY13z5r2w	18500816	US	Cali Y El Dandee - La Estrategia
10	UCwppdrjsBPAZg5_cUwQjfMQ	1346774498	US	Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
10	UC0C-w0YjGpqDXGB8IHb662A	182758212	US	Ed Sheeran - Galway Girl [Official Video]
10	UCXYRdIXDdeZIf816EWAr5zQ	28718579	US	MACKLEMORE FEAT SKYLAR GREY - GLORIOUS (OFFICIAL MUSIC VIDEO)
10	UCRzzwLpLiUNIs6YOPe33eMg	595720507	US	The Chainsmokers & Coldplay - Something Just Like This (Lyric)
24	UCEdvpU2pFRCVqU6yIPyTpMQ	514779289	US	Marshmello - Alone (Official Music Video)
10	UChcn-n6L8vYHzsqOwOubdRQ	32031365	US	Carlos Vives, Sebastian Yatra - Robarte un Beso (Official Video)
10	UCC6sWkXNQqyS2r6u6xQ_GdQ	163509109	US	Jonas Blue - Mama ft. William Singe
10	UCFzm6oAGFmmZfkrzQ5wATSQ	47633656	US	Zedd, Alessia Cara - Stay (Official Music Video)
24	UCT2X19JJaJGUN7mrYuImANQ	21073761	US	Demian Aditya: Escape Artist Risks His Life During AGT Audition - America's Got Talent 2017
10	UCrHL_BF5lHyK43BxLU8-vBQ	334977943	US	J. Balvin, Willy William - Mi Gente (Official Video)
10	UC0C-w0YjGpqDXGB8IHb662A	163489567	US	Ed Sheeran - Perfect [Official Audio]
17	UCRijo3ddMTht_IHyNSNXpNQ	11449941	US	Nerf Slip and Slide Battle | Dude Perfect
10	UCANLZYMidaCbLQFWXBC95Jg	740190190	US	Taylor Swift - You Belong With Me
17	UCRijo3ddMTht_IHyNSNXpNQ	23682170	US	Card Throwing Trick Shots | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	56729467	US	Pickup Basketball Stereotypes
24	UCWOA1ZGywLbqmigxE4Qlvuw	9112497	US	Stranger Things | Season 2 Comic Con "Thriller" Trailer [HD] | Netflix
10	UC0C-w0YjGpqDXGB8IHb662A	210480343	US	Ed Sheeran - Castle On The Hill [Official Video]
10	UCVp3nfGRxmMadNDuVbJSk8A	3012444576	US	Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
10	UCEf_Bc-KVd7onSeifS3py9g	39306155	US	EXO_Ko Ko Bop_Music Video
17	UCRijo3ddMTht_IHyNSNXpNQ	32691741	US	Giant Warship Battle | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	32074145	US	Golf Stereotypes
24	UCT2X19JJaJGUN7mrYuImANQ	8485262	US	Johnny Manuel: Guy Covers Whitney Houston's "I Have Nothing" - America's Got Talent 2017
24	UCT2X19JJaJGUN7mrYuImANQ	30303840	US	Darci Lynne: 12-Year-Old Singing Ventriloquist Gets Golden Buzzer - America's Got Talent 2017
23	UCa6vGFO9ty8v5KZJXQxdhaw	45335352	US	Celebrities Read Mean Tweets #5
10	UC0C-w0YjGpqDXGB8IHb662A	697109635	US	Ed Sheeran - Shape Of You [Official Lyric Video]
10	UC20vb-R_px4CguHzzBPhoyQ	1004573158	US	Eminem - Not Afraid
10	UC6MfFxrAK-e4HcgJROvDJDg	338550274	US	Zara Larsson, MNEK - Never Forget You
24	UCT2X19JJaJGUN7mrYuImANQ	20756594	US	Mandy Harvey: Deaf Singer Earns Simon's Golden Buzzer With Original Song - America's Got Talent 2017
10	UCoUM-UJ7rirJYP8CQ0EIaHA	813021624	US	Bruno Mars - That’s What I Like [Official Video]
24	UCvC4D8onUfXzvjTOM-dBfEA	42514585	US	Thor: Ragnarok Teaser Trailer [HD]
24	UCT2X19JJaJGUN7mrYuImANQ	28189124	US	Celine Tam: 9-Year-Old Stuns Crowd with "My Heart Will Go On" - America's Got Talent 2017
10	UC20vb-R_px4CguHzzBPhoyQ	1367234210	US	Eminem - Love The Way You Lie ft. Rihanna
10	UC20vb-R_px4CguHzzBPhoyQ	452666602	US	Eminem - Without Me
10	UCgwv23FVv3lqh567yagXfNg	30817080	US	It's Goin' Down (From "Descendants 2")
17	UCRijo3ddMTht_IHyNSNXpNQ	24924414	US	DPHQ2 Tour | Dude Perfect
23	UCxSz6JVYmzVhtkraHWZC7HQ	5213363	US	MEETING MY STYLIST!! NAKED WITH CARLOS!
10	UC9HnKwLco0wfmmHJT4KOjJw	28891144	US	Kesha - Praying (Official Video)
10	UCLp8RBhQHu9wSsq62j_Md6A	139809586	US	Luis Fonsi, Juan Luis Guerra - Llegaste Tú
10	UC0C-w0YjGpqDXGB8IHb662A	2034958156	US	Ed Sheeran - Shape of You [Official Video]
10	UCpx_k19S2vUutWUUM9qmXEg	106643416	US	Imagine Dragons - Thunder
10	UCcN-NDV03eHs6oLd1pe2r8w	95833305	US	Khalid - Location
10	UCwppdrjsBPAZg5_cUwQjfMQ	321225710	IN	Charlie Puth - Attention [Official Video]
10	UCZU9T1ceaOgwfLRq7OKFU4Q	140422262	IN	Breaking The Habit (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	616573123	IN	Numb (Official Video) - Linkin Park
10	UCR5BwOS3Gb4uQtxRYRUQ7ng	39634076	IN	Louis Tomlinson - Back to You (Official Video) ft. Bebe Rexha, Digital Farm Animals
10	UCZU9T1ceaOgwfLRq7OKFU4Q	379671389	IN	In The End (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	289758416	IN	What I've Done (Official Video) - Linkin Park
10	UC0C-w0YjGpqDXGB8IHb662A	376048280	IN	Ed Sheeran - Photograph (Official Music Video)
10	UC20vb-R_px4CguHzzBPhoyQ	301213015	IN	Eminem - Mockingbird
10	UCsuNF5l7GRF4RboY13z5r2w	18500816	IN	Cali Y El Dandee - La Estrategia
10	UCwppdrjsBPAZg5_cUwQjfMQ	1346774498	IN	Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
10	UC0C-w0YjGpqDXGB8IHb662A	182759615	IN	Ed Sheeran - Galway Girl [Official Video]
10	UCXYRdIXDdeZIf816EWAr5zQ	28718579	IN	MACKLEMORE FEAT SKYLAR GREY - GLORIOUS (OFFICIAL MUSIC VIDEO)
10	UCRzzwLpLiUNIs6YOPe33eMg	595723462	IN	The Chainsmokers & Coldplay - Something Just Like This (Lyric)
24	UCEdvpU2pFRCVqU6yIPyTpMQ	514779289	IN	Marshmello - Alone (Official Music Video)
